,title,rating,date,time,view,text,naver,photo
18,만족,4점,2021-01-12,03:49:27,7,매번 주문해서 챙겨먹고 있는데 일주일씩 박스 뜯기 귀찮아서 그냥 대용량으로 주문했어요. 리뉴얼 돼서 포장지도 더 좋아졌고 3알로 줄어서 먹기 편하고 좋네요,1,0
19,만족,5점,2021-01-12,03:49:27,7,텁텁하지않고  입안이   깔끔한것같아요,1,0
20,만족,5점,2021-01-12,03:40:50,7,효과 좋아서 재주문했습니다 다음에 또 주문할게요,1,0
21,먹고 생리불순와서 안먹고 있어요ㅠㅠ,2점,2021-01-12,03:17:31,7,먹고 생리불순와서 안먹고 있어요ㅠㅠ,1,1
22,봉투랑 알약개수가 바뀌었네요. 4알 먹기 힘들었는데 3개로 줄어 좋네요.,5점,2021-01-11,05:53:01,8,봉투랑 알약개수가 바뀌었네요. 4알 먹기 힘들었는데 3개로 줄어 좋네요.,1,1
23,만족,5점,2021-01-11,04:56:17,7,좋아요. 잘먹고 있어요.,1,0
24,만족,5점,2021-01-11,04:10:13,7,"수차례 구매해서 복용중
온가족이 먹고 있고, 다이어트 효과 있는거같아요.
체중이 조금 내려감",1,0
25,"늘 먹는거에요. 일년은 이 제품만 먹은것 같네요. 출장이 잦아서 개별포장이 과대이긴하나 저는 좋아요.
싼...",5점,2021-01-11,04:04:42,7,"늘 먹는거에요. 일년은 이 제품만 먹은것 같네요. 출장이 잦아서 개별포장이 과대이긴하나 저는 좋아요.
싼값은 아닌데 내 몸에 들어갈거라서 그냥 매번 떨어지지않게 삽니다. 메이커스에도 판매하는데 매번 기다리기 뭐해서 홈페이지통해서 구매해요.",1,1
26,만족,4점,2021-01-11,03:39:58,7,4주 먹어본 결과 몸은 가벼워진거 같은데  체중은  변화 없음^^식이요법 도 했어요~재구매 했구요,1,0
27,만족,5점,2021-01-10,13:50:22,8,없으면 불안해요 항상믿고 구매합니다~!,1,0
28,만족,5점,2021-01-10,10:35:35,8,항상 먹는 영양제에요!! 꾸준히 잘먹고있습니당,1,0
29,만족,4점,2021-01-10,09:55:26,8,"먹어보니 치약맛 나네요.
근데 좋은지는 잘 모르겠어요.",1,0
30,만족,5점,2021-01-10,09:21:33,8,주기적으로 구매해서 먹고 있습니다,1,0
31,만족,5점,2021-01-10,09:21:14,7,주기적으로 구매하여 먹고 있습니다,1,0
32,만족,4점,2021-01-09,07:13:30,8,"음..  아직 잘모르겠어요
그냥 좋다고 하니 먹어요",1,0
33,매일매일 먹고 있어요 효과 나타나요 고민하지말고 걍 사세요 ㅋㅋㅋ,4점,2021-01-09,07:09:29,8,매일매일 먹고 있어요 효과 나타나요 고민하지말고 걍 사세요 ㅋㅋㅋ,1,1
34,만족,5점,2021-01-09,04:41:44,8,"몇번째재구매인지모르겠어요.
아무거나영양제못먹는데다른부작용없이잘먹고있습니다.",1,0
35,만족,5점,2021-01-09,04:00:51,8,"늘 먹고 있는 제품 입니다. 근데 바뀌었네요.
용량이",1,0
36,만족,5점,2021-01-09,02:48:43,8,효과는 잘 모르겠지만 살이 안찔것같은 기분이 들어서 또 구매하게됐어요,1,0
37,만족,5점,2021-01-09,02:37:20,8,"계속 주문해서 먹고 있는데
효과 정말 좋아요~~",1,0
38,만족,5점,2021-01-08,14:27:27,9,"꾸준히 먹으니 피부가 탱탱한기분이에요 
잔주름이 신경쓰였는데..요즘 잘 안보이는것 같아 더 먹어볼려구요",1,0
39,만족,5점,2021-01-08,13:25:53,9,말이 필요없어요. 이거 떨어져서 며칠 안먹으면 몸이 바로 반응하더라구요. 임신막달에도 꾸준히 챙겨먹은 제품이에요. 늘 쟁여놔요,1,0
40,만족,5점,2021-01-08,13:13:18,9,먹기 깔끔해서좋아요,1,0
41,만족,5점,2021-01-08,12:24:44,9,먹은날 안먹은날 다른느낌...근데 잘때 이거 먹고 자면 엄청 숙면함. 괜히 느낌이 그런건지 뭐때문인지는 잘 모르겠지만....,1,0
42,만족,5점,2021-01-08,11:49:26,9,항상먹는제품 안먹으면 불안해요,1,0
43,만족,5점,2021-01-08,11:31:12,8,휴대해서 먹기 간편해서 좋아요 감사합니다,1,0
44,만족,5점,2021-01-08,11:31:12,8,"식간에 먹지않으면 저는 속이 쓰리네요. 간편해사 잘 먹고 있습니다 , 감사합니다.",1,0
45,만족,5점,2021-01-07,07:20:51,11,"위클리랩 액티블리 만큼 직빵인 유산균이 없어요. 
이거 먹으면 정말 자궁도 장도 튼튼해 집니다. :) 
나올 때 부터 계속 먹은건 아니지만 간간히 시켜 먹고 있는데 먹을 때랑 안 먹을 때랑 달라요.",1,0
46,만족,5점,2021-01-07,07:20:51,10,꾸준히 섭취하고있어요,1,0
47,만족,5점,2021-01-07,06:06:17,10,겨울철이 되니 너무 건조해져서 일단 4주 먼저 먹어보자 하고 구매했습니다. 효과가 있었으면 좋겠습니다 :),1,0
48,만족,5점,2021-01-07,05:58:41,9,"언제나 먹는 제품이예요..
먹기편하고 좋습니다..",1,0
49,만족,5점,2021-01-07,04:35:24,10,"예전에 먹었다가 가격이 부담되서 다른콜라겐으로 갈아탓었는데요
가격이 부담되도 이게 더 나아요
다른콜라겐은 먹어도 효과가 있는건가 없는건가하는데
이 콜라겐은 먹기 전후가 확실하게 차이가 있어요",1,0
50,만족,5점,2021-01-07,04:35:24,10,먹기는 간편해요 ! ㅋㅋ,1,0
51,만족,5점,2021-01-07,04:35:24,10,여기서 시킨 여성 유산균이 어머님 이나 여동생이 좋다고 해서 믿고 시켜봐요 ! ㅋㅋ,1,0
52,만족,5점,2021-01-07,03:34:54,9,매번 먹지만 효과 좋은거 같네요 감사합니다,1,0
53,만족,5점,2021-01-07,02:51:48,9,내가 좋아하는 상품 이예요~,1,0
54,만족,5점,2021-01-06,07:31:59,10,밑에 간지럽거나 할때 먹는 유산균 너무 만족해요,1,0
55,만족,5점,2021-01-06,06:48:42,10,계속꾸준히먹는아이에요ㅡㅎㅎ,1,0
56,만족,5점,2021-01-06,06:31:52,10,"저렴하게 잘 사서 좋은거같아요
피부가 좀 부드러워진 느낌이예요",1,0
57,만족,5점,2021-01-06,06:31:52,10,늘 먹던 제품입니다 재 구매 했습니다,1,0
58,만족,5점,2021-01-06,04:55:42,11,메번 먹고 있습니다 1년넘게 무난하고 큰 효과나 드라마틱하게 효과는 없지만 소소함니다,1,0
59,만족,5점,2021-01-06,04:55:42,11,매번 먹는거 콜라겐입니다 그래수 주문쓰,1,0
60,만족,5점,2021-01-06,02:38:54,14,"1년넘게 콜라겐은 이것만 먹어여
좋습니다",1,0
61,만족,4점,2021-01-05,06:17:17,11,아직 효과는 모르겠지만 한달 먹어보려고 구매했습니다,1,0
62,만족,5점,2021-01-05,05:27:45,11,여지껏 먹던 비타민 중에 이게 제일 좋아요. 거의 링거 맞는 수준  계속 구매 예정이에요,1,0
63,만족,5점,2021-01-04,06:09:00,12,효과가 크게 좋은지는 모르겠으나 좋아요,1,0
64,만족,5점,2021-01-04,05:52:15,13,늘 챙겨먹고 있어요 라이틀리 최고입니다ㅜㅜ,1,0
65,만족,5점,2021-01-04,05:10:04,12,다이어트효과도있고ᆢ변비엔최고인거같아재구매했네요,1,0
66,만족,5점,2021-01-04,04:42:59,12,잘먹겠습니다 먹어보고 재구매 하려구요~,1,0
67,만족,5점,2021-01-04,03:42:59,12,너무 좋아요~항상 주문합니다!,1,0
68,만족,5점,2021-01-03,06:15:27,13,5번째 구매~ ㅎㅎㅎ,1,0
69,만족,5점,2021-01-03,05:22:59,13,먹기 편하고  좋아요,1,0
70,만족,4점,2021-01-03,04:52:32,13,글쎄.아직.잘모르겠어요.더 먹어봐야할거같아요,1,0
71,만족,5점,2021-01-03,03:57:32,13,쟁여놨다가 필요할 때마다 하나씩 먹어요! 효과는 진짜 좋아요!,1,0
72,만족,4점,2021-01-03,03:03:00,13,좋다는 리뷰가 많아서 신뢰하며 샀어요~,1,0
73,만족,4점,2021-01-03,03:03:00,13,잘 막어보고 효과보고싶어요~~ 좋은 리뷰가 많아서 신뢰하며 샀습니다.,1,0
74,만족,5점,2021-01-02,05:54:31,14,먹기 편하고 좋아요.,1,0
75,만족,5점,2021-01-02,05:54:31,14,먹기 편하고 좋아요,1,0
76,이콜라겐 없음 안될정도임ㅜㅜ 다떨어지기 전에 재구매꼭합니다^^,4점,2021-01-02,05:41:02,14,이콜라겐 없음 안될정도임ㅜㅜ 다떨어지기 전에 재구매꼭합니다^^,1,1
77,이제 이유산균없음 안되요ㅜㅜ떨어지기 전에 항상 재구매합니다^^,4점,2021-01-02,05:41:01,14,이제 이유산균없음 안되요ㅜㅜ떨어지기 전에 항상 재구매합니다^^,1,1
78,만족,5점,2021-01-02,04:48:09,14,"배송빠르고 포장도 꼼꼼하네요
효과는 더 먹어봐야될꺼같네요",1,0
79,만족,5점,2021-01-02,04:28:45,14,"이거먹고  속옷이아주깨끗해여
냉이없어져서 좋아요",1,0
80,만족,5점,2021-01-02,03:58:30,14,꾸준히먹고있는제품입니다,1,0
81,만족,5점,2021-01-02,03:35:47,15,"제가꾸준히  먹는제품  이제는딸도같이먹으려구여~~저보다이제는 딸이더좋아해요
효과짱이에요",1,0
82,만족,5점,2021-01-02,02:30:27,15,꾸준히 잘 먹고있습니다 ^^,1,0
83,만족,5점,2021-01-01,06:15:18,15,항상 구매하는 제품입니다. 좋아요,1,0
84,만족,5점,2021-01-01,06:15:18,15,엄마가 너무 좋아서 또 샀어요,1,0
85,만족,5점,2021-01-01,05:17:57,16,삼키기도 좋구 좋아용 ㅎ헤,1,0
86,어머니가 좋아하시네요,5점,2021-01-01,05:15:05,16,어머니가 좋아하시네요,1,1
87,가루는 먹기가 좀 거북한데 이건 먹기 편리해서 꾸준히 먹게되네요,5점,2021-01-01,04:18:04,16,가루는 먹기가 좀 거북한데 이건 먹기 편리해서 꾸준히 먹게되네요,1,1
88,가루가 아니라서 가볍게 먹을 수 있다는게 좋아요~ 아침에 무조건 하나씩 먹습니다,5점,2021-01-01,04:13:16,15,가루가 아니라서 가볍게 먹을 수 있다는게 좋아요~ 아침에 무조건 하나씩 먹습니다,1,1
89,만족,5점,2021-01-01,04:11:46,15,만족해서 재구매 합니다,1,0
90,만족,5점,2021-01-01,04:11:46,15,다른 유산균들 보다 좋아요 효과 있어욤,1,0
91,만족,5점,2021-01-01,03:51:47,15,자주 챙겨먹고 있는데 ..좋아,1,0
92,보통,3점,2021-01-01,03:51:47,15,잘먹고요좋아지길바래오ㅡ,1,0
93,만족,5점,2021-01-01,03:45:27,15,항상떨어지면불안한것,1,0
94,만족,5점,2021-01-01,03:24:20,15,세일해서 득템한 느낌 딸이 잘먹어요 좋다고하네요,1,0
95,만족,5점,2020-12-31,07:08:08,16,좋아요~추천합니당~~~,1,0
96,만족,5점,2020-12-31,07:08:08,16,꾸준히 먹고 있는 제품이예요!! 확실히 겨울에는 먹고 안먹고의 차이가 확연히 나타나는거 같아요! 꾸준히 먹어주는게 제일 좋은거 같아여!  이런행사일때면 꼭 많이사서 쟁겨두고 먹어요 ㅎㅎ,1,0
97,만족,5점,2020-12-31,06:09:46,16,우유알러지가있어서 저분자콜라겐을 못먹는데 위클리랩...정말 좋아서 지금 2년넘게 계속 구매하고있어요~~이번에도 대용량으로 사서 떨어지면 또 구매할거예요!!!,1,0
98,만족,5점,2020-12-31,05:17:00,16,늘 먹고있는 제품입니다. 배변이 너무 편하고 가벼워용♡,1,0
99,만족,4점,2020-12-31,05:17:00,16,10일정도 먹었는데 효과를 못보고 있어요,1,0
100,만족,5점,2020-12-31,05:05:15,16,감사합니다 늘 먹고 있어요,1,0
101,만족,5점,2020-12-31,04:02:51,17,"간편하게 먹을수있어서 매번 구매해서 먹고있어요!
엄마랑 먹다보니 ㅅ금방 다 먹어서 아쉽네요ㅎ",1,0
102,만족,5점,2020-12-30,06:47:47,16,4주+4주너무좋아서 쟁여두었어요,1,0
103,만족,4점,2020-12-30,06:18:06,16,좋아요. 화장실 잘가요,1,0
104,보통,3점,2020-12-30,06:18:06,16,"사실...한달 먹고 피부가 확 좋아지는걸 바라는건 욕심이죠..ㅎㅎ
그냥...안먹는거 보다는 나을것 같아서 먹어봤는데...괜찮은 듯합니다...",1,0
105,신랑이랑 같이 먹으려고 열심히 먹고있어요,5점,2020-12-30,05:50:15,16,신랑이랑 같이 먹으려고 열심히 먹고있어요,1,1
106,만족,5점,2020-12-30,04:14:30,16,꾸준히 오래복용하고있어요,1,0
107,저렴히사서좋네요^^,5점,2020-12-30,04:09:07,16,저렴히사서좋네요^^,1,1
108,꼭효과잇음좋겠어요 저렴히구매해서좋네요,5점,2020-12-30,04:09:06,16,꼭효과잇음좋겠어요 저렴히구매해서좋네요,1,1
109,이거없으면불안해요 세일덕에잘산기분 다이어리잘쓸게요,5점,2020-12-30,03:26:50,16,이거없으면불안해요 세일덕에잘산기분 다이어리잘쓸게요,1,1
110,만족,5점,2020-12-30,02:27:21,17,항상 먹는 제품입니다,1,0
111,만족,5점,2020-12-29,06:57:44,16,꾸준히 먹고 장 건강 챙기려고요~ 포장이 낱개라 편한데 환경오염이 좀 걱정되긴 하네요 ^-^,1,0
112,매일매일 먹는중임데 확실히 트러블이 안나고 얼굴 땡기는것도 없고 촉촉해진거같아요 감사합니당,5점,2020-12-29,05:49:32,16,매일매일 먹는중임데 확실히 트러블이 안나고 얼굴 땡기는것도 없고 촉촉해진거같아요 감사합니당,1,1
113,만족,5점,2020-12-29,03:27:40,16,늘 빼먹지않고 주문해요~,1,0
114,좋아요 개별포장이라 먹기 편하네요,5점,2020-12-29,03:11:15,16,좋아요 개별포장이라 먹기 편하네요,1,1
115,만족,5점,2020-12-29,02:43:40,16,너무좋은 유산균~^^,1,0
116,"배송느림.
코로나로 택배기사님들 힘드실거알고
참고기다렸어요.
잘묵겠습니당.",5점,2020-12-28,15:54:39,16,"배송느림.
코로나로 택배기사님들 힘드실거알고
참고기다렸어요.
잘묵겠습니당.",1,1
117,"배송이 엄청 늦네요..
월요일출발해서 목요일 수령..
평이좋아 구매햇어요~
피곤이좀 덜하기늘..",5점,2020-12-28,15:54:38,16,"배송이 엄청 늦네요..
월요일출발해서 목요일 수령..
평이좋아 구매햇어요~
피곤이좀 덜하기늘..",1,1
118,바꼇나요?투명이였고 4알이였는ㄷㅔ 3알로바뀐건지 잘못시킨건지 모르겠네요,4점,2020-12-28,15:33:34,18,바꼇나요?투명이였고 4알이였는ㄷㅔ 3알로바뀐건지 잘못시킨건지 모르겠네요,1,1
119,만족,5점,2020-12-28,06:20:09,16,정말 효과가 있는것 같아요~,1,0
120,만족,4점,2020-12-28,05:53:11,16,꾸준히 구매하고있습니다 만족합니다,1,0
121,만족,5점,2020-12-28,04:26:23,16,넘~~~~~~좋아옹,1,0
122,만족,5점,2020-12-28,03:59:31,16,상품평보고 구매했어요 기대되요~,1,0
123,좋아요 소포장이어서 좋긴한데 환경엔 그다지,5점,2020-12-28,03:38:12,16,좋아요 소포장이어서 좋긴한데 환경엔 그다지,1,1
124,만족,5점,2020-12-27,06:17:38,16,확실히 렌즈꼈을 때 덜 건조해요,1,0
125,만족,4점,2020-12-27,05:58:39,16,나쁘지 않아요 아직까지는 괜찮아요,1,0
126,포장  진공 상태 다 좋네요 우선 먹어요,4점,2020-12-27,05:53:16,16,포장  진공 상태 다 좋네요 우선 먹어요,1,1
127,만족,5점,2020-12-27,05:06:35,16,"배송 빠르고  포장상태 좋아요
아직 일주일치 못먹었어요
먹어보고 후기 남길게요",1,0
128,역시 최고 가격이 부담되는것빼곤 효과조아요 원래는 4알였는데 3알로바뀌고 포장도 바꿨네요!!,5점,2020-12-27,05:01:04,17,역시 최고 가격이 부담되는것빼곤 효과조아요 원래는 4알였는데 3알로바뀌고 포장도 바꿨네요!!,1,1
129,"일주일 먹어보고 효과있는듯해서 한달분 주문요~~  꾸준히 먹어보려구요
화장실이 편하네요",5점,2020-12-27,03:47:02,16,"일주일 먹어보고 효과있는듯해서 한달분 주문요~~  꾸준히 먹어보려구요
화장실이 편하네요",1,1
130,만족,5점,2020-12-27,03:37:45,16,꾸준히먹고있어요...생리전 트러블은 확실히 줄었어요...1년 넘게 먹고 있는중입니다...,1,0
131,좋아요 ~~~~~~~~~~~~~,4점,2020-12-27,03:17:01,16,좋아요 ~~~~~~~~~~~~~,1,1
132,"다이어트 기간 중, 대부분을 이친구와 함께하고 있습니당
식이 운동 꾸준히 하고 있으며 라이틀리는 화장실 ...",5점,2020-12-26,05:44:02,16,"다이어트 기간 중, 대부분을 이친구와 함께하고 있습니당
식이 운동 꾸준히 하고 있으며 라이틀리는 화장실 정말 편하게 다녀오게 도와주는 좋은 친구에요ㅠㅠ ღ",1,1
133,만족,5점,2020-12-26,05:34:28,16,위클리랩 제품은 먹고나면 몸이 더 가벼워지는거 같아서 챙겨먹게되요,1,0
134,만족,5점,2020-12-26,05:03:25,16,"항상 먹는거지만, 7주분 56000원구매후 배송도착하자마자 8주분이 42000원이라니",1,0
135,만족,5점,2020-12-26,04:41:04,16,네번째 구매에요 진짜 좋은 거 같애요,1,0
136,만족,5점,2020-12-26,04:41:04,16,포장되어있어 먹기 간편합니다,1,0
137,만족,4점,2020-12-26,03:42:39,16,"먹고 살빼야지.ㅎ
열심히 다이어트 할께요",1,0
138,보통,3점,2020-12-26,03:42:39,17,6개월이상 꾸준히 먹었는데 큰 변화는 없는 것 같아요,1,0
139,만족,5점,2020-12-26,03:11:39,16,살안찌겠지 하는 마음으로 먹네요,1,0
140,만족,5점,2020-12-26,03:11:39,16,먹을때와 않먹을때 차이나요~,1,0
141,만족,5점,2020-12-26,03:08:34,16,장이 튼튼해진 느낌이예요  장트러블이  하나도 없네요,1,0
142,만족,5점,2020-12-25,05:19:33,16,할인해서 구매했는데 먹어보고 좋으면 계속 구매할게요,1,0
143,만족,4점,2020-12-25,05:02:04,16,엄마 사드렸는데 효과있길 바래요,1,0
144,만족,5점,2020-12-25,04:27:57,17,먹던거라 저렴하게 샀어용,1,0
145,만족,5점,2020-12-25,04:15:06,16,좋아요! 개별포장이라 들고 다니면서 먹기 넘 간편함,1,0
146,만족,5점,2020-12-25,03:27:16,16,조아요조아요조아요조아요,1,0
147,만족,5점,2020-12-24,07:09:30,16,또 주문했어요 먹던거라 주문해요,1,0
148,만족,5점,2020-12-24,07:09:30,16,계속 늘 먹고 있습니다,1,0
149,만족,5점,2020-12-24,07:01:15,17,항상먹는거에요^^ 아주좋습니다,1,0
150,만족,5점,2020-12-24,05:21:12,16,먹기 편해요 많이 먹은 날 자기 전 양심상 먹어봅니다,1,0
151,만족,5점,2020-12-24,04:51:55,16,"많이 먹은날 괜히 내몸한테 좀 미안하잖아요
그때 먹어주니 배변활동에 도움을 받는거같아요
전 만족해요",1,0
152,만족,5점,2020-12-24,04:51:55,16,효과좋으면 재구매할께요^^,1,0
153,만족,5점,2020-12-24,04:29:46,16,저렴하게 잘 샀어요.,1,0
154,만족,5점,2020-12-24,02:57:02,16,ㅠ큰건줄 알았는데 일주일용이네요.. 어쩐지 저렴했어요 ㅠㅠ 예전에 한달용 먹어보고 안먹다가 원플원 행사해서 구매했어요 먹고 자고 일어나면 피부가 좋아지는거 같긴해요,1,0
155,만족,4점,2020-12-24,02:50:33,16,"꾸준히 먹어보려구요
일단 하루 한번이라 정말 편합니다",1,0
156,괜찮은거같긴한데 효과는 아직 모르겠어요,4점,2020-12-23,06:46:30,16,괜찮은거같긴한데 효과는 아직 모르겠어요,1,1
157,만족,5점,2020-12-23,06:13:23,16,좋아요 벌써 3달짼데 피부가 좋아지는 느낌입니다,1,0
158,만족,5점,2020-12-23,06:13:23,16,화장실이 확실히좋아요,1,0
159,만족,5점,2020-12-23,05:54:35,16,호과는 미세하지만 있는것같습니다.,1,0
160,살은 안빠져요.화장실은 잘가는데 그거만 좋네요,3점,2020-12-23,05:45:37,16,살은 안빠져요.화장실은 잘가는데 그거만 좋네요,1,1
161,두번째주문해요 살빠지는건 모르겠는데 하루한번 화장실가요,4점,2020-12-23,05:45:33,16,두번째주문해요 살빠지는건 모르겠는데 하루한번 화장실가요,1,1
162,배송도빠르고 좋아요,5점,2020-12-23,05:22:55,16,배송도빠르고 좋아요,1,1
163,만족,5점,2020-12-23,05:06:16,16,"벌써 다섯번째 구매함.
작은아들까지 복용 시키고 있어요.
효과가 분명히 있어요.
여섯번째 구매하려고 해요.",1,0
164,꾸준히먹어볼께요~~여성유산균먹어보고 좋아서 이것도구매했어요~~,4점,2020-12-23,03:40:34,16,꾸준히먹어볼께요~~여성유산균먹어보고 좋아서 이것도구매했어요~~,1,1
165,만족,5점,2020-12-23,02:54:35,16,좋아요 만족합니다~~,1,0
166,만족,4점,2020-12-23,02:36:06,16,먹기좋게 깔끔하게 포장되어 있고 배송도 빨라서 좋았어요,1,0
167,아직 먹어본지 며칠안돼 잘 모르겠네요ㅠㅠ,3점,2020-12-23,02:32:26,16,아직 먹어본지 며칠안돼 잘 모르겠네요ㅠㅠ,1,1
168,아무 느낌 없어요ㅠㅠ,3점,2020-12-23,02:32:26,16,아무 느낌 없어요ㅠㅠ,1,1
169,만족,5점,2020-12-23,02:25:25,17,항상 먹는 제품이에요 효과좋아요,1,0
170,만족,5점,2020-12-22,07:18:17,16,계속 먹어보려구요.,1,0
171,만족,4점,2020-12-22,07:18:17,16,좋다고 해서 꾸준히 먹어보려구요,1,0
172,만족,4점,2020-12-22,06:53:59,16,"상품이미지
위클리랩
위클리랩 이너플리 저분자 콜라겐 히알루론산
이너플리=[19%할인+무배] 이너플리 4주",1,0
173,만족,5점,2020-12-22,06:17:45,16,늘먹던거에요 안먹으면 불안한느킴,1,0
174,만족,5점,2020-12-22,05:04:39,16,정말 1년넘게먹고있는데 효과있는거같아요,1,0
175,만족,5점,2020-12-22,04:39:36,16,강장공장 공장장은 강공장장,1,0
176,만족,5점,2020-12-22,04:39:36,16,"콜라겐만 먹다 눈영양제 구입.
아침에 일어날때 눈건조가 조금덜한듯 해요
꾸준히 먹어봐야될듯",1,0
177,만족,5점,2020-12-22,04:39:36,16,확실히 기냥 굶은것보다는 나은것같아요 재구매하려구요,1,0
178,보통,3점,2020-12-22,03:44:58,16,"우선 배송이 일주일 걸려서 별 하나 뺐구요
아직 안먹어봐서 별 하나 또 뺐어요
한달쯤 먹어보고 또 후기 남길께요",1,0
179,큰효과는기대하진않아요.코로나때문에활동을못하니깐유지와관리만돼도만족해요.,5점,2020-12-22,03:38:45,16,큰효과는기대하진않아요.코로나때문에활동을못하니깐유지와관리만돼도만족해요.,1,1
180,눈관리는몇년전부터꾸준히하고있어요.이제품은한봉지에두알이들어있어요.,5점,2020-12-22,03:38:45,16,눈관리는몇년전부터꾸준히하고있어요.이제품은한봉지에두알이들어있어요.,1,1
181,"일주일째 먹고 있는데  잠은  좀 안오긴하네요~
좀더먹어보고 후기 남길게요",4점,2020-12-22,03:38:44,16,"일주일째 먹고 있는데  잠은  좀 안오긴하네요~
좀더먹어보고 후기 남길게요",1,1
182,항상 재구매하고 먹고있어요. 좋아요,5점,2020-12-22,03:09:29,16,항상 재구매하고 먹고있어요. 좋아요,1,1
183,"여행가거나 밖에서 복용할 때는 편리한데, 환경을 생각해서 대용량으로 병에 담겨 있는 제품으로 출시해도 ...",3점,2020-12-21,06:31:10,18,"여행가거나 밖에서 복용할 때는 편리한데, 환경을 생각해서 대용량으로 병에 담겨 있는 제품으로 출시해도 될거같아요",1,1
184,만족,5점,2020-12-21,05:40:15,18,늘  먹는  제품..  또 주문해요,1,0
185,만족,5점,2020-12-21,05:40:15,16,늘  먹는  제품이요  또  주문해여,1,0
186,만족,5점,2020-12-21,05:40:15,16,늘 먹는  제품..   또  주문하러  가요,1,0
187,만족,5점,2020-12-21,05:40:15,17,늘  먹는제품..  또 주문해요,1,0
188,"처음 주문해서 ....
한달 먹어 보고 작성해서 올릴게요",4점,2020-12-21,05:39:50,17,"처음 주문해서 ....
한달 먹어 보고 작성해서 올릴게요",1,1
189,만족,5점,2020-12-21,04:13:32,17,늘쓰는제품입니다^^,1,0
190,만족,4점,2020-12-21,04:13:32,16,항상 먹는 제품입니다 ㅎㅎ 굿,1,0
191,만족,5점,2020-12-21,03:26:15,16,일주일정도 먹었는데 화장실을 잘가는것 같아요,1,0
192,만족,5점,2020-12-21,02:25:47,18,항상 잘 챙겨먹고있엉ㅛ,1,0
193,만족,5점,2020-12-21,02:25:47,17,효과는 먹고난후 알겠지만 먹긴 아주 좋으네요,1,0
194,만족,4점,2020-12-20,06:39:04,17,늘 사는 제품입니다 배송도 빠르고 좋아요,1,0
195,만족,5점,2020-12-20,06:39:04,16,일단 열심히 먹어 보겠습니다,1,0
196,화장실에 잘 가는게 좋아요,5점,2020-12-20,05:45:16,16,화장실에 잘 가는게 좋아요,1,1
